date,vix,term_spread,vix_rolling_z,spike,spike_probability,signal
2019-05-01,14.8000001907349,1.39000034332275,-0.287110177747162,1,0.7648931,SPIKE_RISK
2019-05-02,14.4200000762939,1.61000061035156,-0.374798029387604,1,0.7816102,SPIKE_RISK
2019-05-06,15.4399995803833,0.960000038146973,-0.14027896725478,1,0.5955548,SPIKE_RISK
2019-05-07,19.3199996948242,-0.539999008178711,0.751694370244812,0,0.42962795,CALM
2019-05-08,19.3999996185303,-0.649999618530273,0.763991676249365,0,0.20555583,CALM
2019-05-09,19.1000003814697,-0.659999847412109,0.688942915279306,0,0.11211033,CALM
2019-05-10,16.0400009155273,0.85999870300293,-0.0220578791214614,1,0.8126999,SPIKE_RISK
2019-05-13,20.5499992370605,-0.759998321533203,1.01401807380153,0,0.09540032,CALM
2019-05-14,18.0599994659424,0.230001449584961,0.43339025683815,0,0.2398097,CALM
2019-05-15,16.4400005340576,1.04999923706055,0.0581433913932528,0,0.53928614,SPIKE_RISK
2019-05-16,15.289999961853,1.44999980926514,-0.207046351199393,0,0.45418397,CALM
2019-05-20,16.3099994659424,0.980001449584961,0.0278218767320994,0,0.5285292,SPIKE_RISK
2019-05-21,14.9499998092651,1.47000026702881,-0.289432652530595,1,0.64433026,SPIKE_RISK
2019-05-22,14.75,1.67000007629395,-0.3381741822978,1,0.6363401,SPIKE_RISK
2019-05-23,16.9200000762939,0.770000457763672,0.162276076109282,0,0.4994991,CALM
2019-05-24,15.8500003814697,1.23999977111816,-0.0911360634490862,0,0.45952734,CALM
2019-05-28,17.5,0.399999618530273,0.285342861753065,0,0.24952579,CALM
2019-05-29,17.8999996185303,0.340000152587891,0.374041310618988,0,0.23106933,CALM
2019-05-30,17.2999992370605,0.659999847412109,0.229156585542523,0,0.27364463,CALM
2019-05-31,18.7099990844727,0.120000839233398,0.554604570415559,0,0.24418692,CALM
2019-06-04,16.9699993133545,0.620000839233398,0.135375394923541,0,0.12880594,CALM
2019-06-05,16.0900001525879,1.03999900817871,-0.0756911364353137,0,0.073119126,CALM
2019-06-06,15.9300003051758,0.989999771118164,-0.116082581910193,0,0.12895143,CALM
2019-06-07,16.2999992370605,0.850000381469727,-0.0321617655498769,0,0.08169296,CALM
2019-06-11,15.9899997711182,1.0,-0.109064839927788,0,0.14664237,CALM
2019-06-12,15.9099998474121,1.13999938964844,-0.126629671352472,0,0.23051427,CALM
2019-06-13,15.8199996948242,1.04000091552734,-0.147846858705196,0,0.18851165,CALM
2019-06-14,15.2799997329712,1.32000064849854,-0.273199227738314,0,0.24250738,CALM
2019-06-17,15.3500003814697,1.26000022888184,-0.2551201630164,0,0.18432309,CALM
2019-06-18,15.1499996185303,1.35000038146973,-0.301516791288483,0,0.36366376,CALM
2019-06-19,14.3299999237061,1.77000045776367,-0.49424237505259,0,0.2411612,CALM
2019-06-20,14.75,1.38999938964844,-0.393343696298632,0,0.18852979,CALM
2019-06-21,15.3999996185303,1.27000045776367,-0.239014571119565,0,0.20532824,CALM
2019-06-25,16.2800006866455,0.840000152587891,-0.0335342113703895,0,0.16116254,CALM
2019-06-26,16.2099990844727,0.840000152587891,-0.0536759072811963,0,0.10886816,CALM
2019-06-27,15.8199996948242,0.940000534057617,-0.149757557973552,0,0.16650544,CALM
2019-06-28,15.0799999237061,0.979999542236328,-0.327640032444368,0,0.20689206,CALM
2019-07-01,14.0600004196167,1.36999988555908,-0.572798088366443,0,0.087384775,CALM
2019-07-02,12.9300003051758,1.78999996185303,-0.843706998861653,0,0.092579566,CALM
2019-07-03,12.5699996948242,1.96000003814697,-0.929184178644754,0,0.29451475,CALM
2019-07-08,13.960000038147,1.51999950408936,-0.605250643759141,0,0.16417125,CALM
